State,Abv,Date,Tested,Positive,Deaths,Mortality Rate,Happiness Rank,totalScore,Emotional/Physical Rank,Work Enviroment Rank,Community Enviroment Rank,Happiness Rank Inv,Emotional/Physical Rank Inv,Work Enviroment Rank Inv,Community Enviroment Rank Inv,State Population
Oklahoma,OK,2020-07-25 07:10:21,518134.0,29116.0,484.0,1.6623162522324495,46.0,38.89,47.0,35.0,33.0,4.0,3.0,15.0,17.0,3918137.0
Oregon,OR,2020-07-22 05:16:54,344479.0,15139.0,269.0,1.7768676927141818,39.0,48.05,43.0,4.0,24.0,11.0,7.0,46.0,26.0,4081943.0
Pennsylvania,PA,2020-07-25 07:23:41,1101979.0,102602.0,7101.0,6.920917720902128,30.0,50.54,28.0,41.0,15.0,20.0,22.0,9.0,35.0,12791181.0
Rhode Island,RI,2020-07-22 05:16:54,317544.0,17986.0,996.0,5.537640386967641,31.0,50.44,30.0,31.0,29.0,19.0,20.0,19.0,21.0,1056611.0
South Carolina,SC,2020-07-22 05:16:54,598457.0,73337.0,1221.0,1.6649167541622918,36.0,48.26,38.0,32.0,13.0,14.0,12.0,18.0,37.0,4955925.0
South Dakota,SD,2020-07-22 05:16:54,99845.0,8019.0,118.0,1.4715051752088788,9.0,60.8,14.0,13.0,8.0,41.0,36.0,37.0,42.0,864289.0
Tennessee,TN,2020-07-25 07:10:21,1321707.0,89078.0,925.0,1.038415770448371,40.0,46.13,41.0,8.0,40.0,10.0,9.0,42.0,10.0,6651089.0
Texas,TX,2020-07-25 07:23:41,3231931.0,369826.0,4717.0,1.2754646779837004,22.0,52.56,11.0,28.0,49.0,28.0,39.0,22.0,1.0,27885195.0
Utah,UT,2020-07-22 05:16:54,561500.0,35012.0,251.0,0.7168970638638181,2.0,67.84,18.0,1.0,2.0,48.0,32.0,49.0,48.0,3045350.0
Virginia,VA,2020-07-22 05:16:54,937148.0,79371.0,2048.0,2.5802875105517127,15.0,57.35,15.0,25.0,27.0,35.0,35.0,25.0,23.0,8413774.0
Vermont,VT,2020-07-22 05:16:54,84947.0,1366.0,56.0,4.099560761346998,38.0,48.18,26.0,23.0,48.0,12.0,24.0,27.0,2.0,624977.0
Washington,WA,2020-07-25 07:10:21,883982.0,50824.0,1495.0,2.9415236895954666,17.0,56.44,29.0,5.0,9.0,33.0,21.0,45.0,41.0,7294336.0
Wisconsin,WI,2020-07-22 05:16:54,794697.0,44135.0,859.0,1.9463011215588533,11.0,58.87,16.0,11.0,14.0,39.0,34.0,39.0,36.0,5778394.0
West Virginia,WV,2020-07-22 05:16:54,240201.0,5199.0,101.0,1.9426812848624733,50.0,33.42,49.0,48.0,32.0,0.0,1.0,2.0,18.0,1829054.0
Wyoming,WY,2020-07-25 07:10:21,66158.0,1972.0,25.0,1.2677484787018256,35.0,48.9,31.0,43.0,22.0,15.0,19.0,7.0,28.0,581836.0
Puerto Rico,,,,,,,,,,,,,,,,3386941.0
District of Columbia,,,,,,,,,,,,,,,,684498.0
